#"Progress (%)"	"Step"	"Potential Energy (kJ/mole)"	"Temperature (K)"	"Speed (ns/day)"
0.2%	1000	-1326183.776815473	300.24613859790713	0
0.4%	2000	-1325355.7981095063	301.2016700657947	239
0.6%	3000	-1326889.8234586716	299.2731907635001	239
0.8%	4000	-1325539.5972693749	299.2852148253468	236
1.0%	5000	-1326874.6663129963	300.88837411358804	236
1.2%	6000	-1326621.0310735255	301.4586445398005	236
1.4%	7000	-1326401.4234348284	299.7911976648288	237
1.6%	8000	-1324434.7300838288	299.14157360943295	237
1.8%	9000	-1326855.3282298055	298.84437894283514	237
2.0%	10000	-1328201.8510933435	299.4236992108695	227
2.2%	11000	-1327348.970240986	299.6052085786504	225
2.4%	12000	-1327289.6115258215	300.1181858274656	226
2.6%	13000	-1327426.2231575986	301.5357232997707	227
2.8%	14000	-1327461.5243163295	301.43580054391384	228
3.0%	15000	-1326034.8506734092	300.56102039232263	228
3.2%	16000	-1325419.4734462593	299.74238461973135	229
3.4%	17000	-1326038.7081756443	300.761572958729	229
3.6%	18000	-1325341.1378111439	302.2551835913027	230
3.8%	19000	-1325272.5660321647	299.8571257686655	230
4.0%	20000	-1326237.48344066	302.1085325478389	226
4.2%	21000	-1325862.7163061323	298.94529007144064	225
4.4%	22000	-1325931.5365819158	301.3273270592833	225
4.6%	23000	-1326522.0627057012	300.53235815243016	226
4.8%	24000	-1325596.5381217208	298.2374447165823	226
5.0%	25000	-1326178.6918611694	301.1916413431202	227
5.2%	26000	-1325044.04633966	299.2172990831897	227
5.4%	27000	-1326819.528795178	298.8562949118349	228
5.6%	28000	-1327006.1694942927	300.5321058091266	228
5.8%	29000	-1329038.4206016194	300.95388990495184	228
6.0%	30000	-1328939.9606531179	302.8585208401132	226
6.2%	31000	-1328565.4084076108	301.94829982243886	225
6.4%	32000	-1326181.639239816	298.46166291178133	226
6.6%	33000	-1326749.8790776022	298.92630067674105	226
6.8%	34000	-1326710.1396888318	299.86661958995865	226
7.0%	35000	-1325527.7036699522	299.84794932362314	227
7.2%	36000	-1326210.2540322002	300.49684159066055	227
7.4%	37000	-1325497.774919727	298.78256663735795	227
7.6%	38000	-1326685.9105646107	297.40279097011273	227
7.8%	39000	-1327566.7356468076	300.0530483909066	228
8.0%	40000	-1325978.803576502	300.4012538109095	225
8.2%	41000	-1327785.7914254274	299.6608913757058	225
8.4%	42000	-1325289.3641452827	298.5786616485831	225
8.6%	43000	-1325421.1445612898	299.21930006702047	225
8.8%	44000	-1326699.1771274153	300.82265603469557	226
9.0%	45000	-1325440.48796782	299.62639592358516	226
9.2%	46000	-1326770.3364985446	301.951239179505	226
9.4%	47000	-1324990.0085411174	300.8205900813661	226
9.6%	48000	-1326050.4093556898	299.883089136731	226
9.8%	49000	-1326092.2531890497	299.84538756110646	227
10.0%	50000	-1326213.7392203426	298.6739291361918	225
10.2%	51000	-1327260.8912735851	301.37814379672704	225
10.4%	52000	-1326871.8406577474	301.2127853410841	225
10.6%	53000	-1327763.0650283787	300.5339805724367	225
10.8%	54000	-1326302.659308507	302.23002104590023	225
11.0%	55000	-1327635.9712100616	300.4073135681331	226
11.2%	56000	-1326192.1893809838	300.0252667330953	226
11.4%	57000	-1325770.609479148	300.25361788491807	226
11.6%	58000	-1324108.5398992598	299.54200859131896	226
11.8%	59000	-1326910.3974594194	301.13649518016024	226
12.0%	60000	-1327707.8428022787	301.6611468928349	225
12.2%	61000	-1326593.1335359458	300.88460020688524	225
12.4%	62000	-1325720.702397842	299.3616668397238	225
12.6%	63000	-1326857.1139947893	302.6053897595699	225
12.8%	64000	-1327414.9680006849	300.82099481380027	225
13.0%	65000	-1327116.1491176188	300.0348945175274	225
13.2%	66000	-1329841.006788875	299.5699990224055	226
13.4%	67000	-1327296.58603667	298.3685883563041	226
13.6%	68000	-1326739.8639011206	299.7029249669004	226
13.8%	69000	-1325644.106462501	298.7687010504892	226
14.0%	70000	-1324536.0789748244	299.55784268258674	225
14.2%	71000	-1326951.6149162762	300.5252786610147	225
14.4%	72000	-1325701.576342767	302.1164879862651	225
14.6%	73000	-1325999.5285567436	300.4249343618281	225
14.8%	74000	-1326121.3750989074	301.7754520344359	225
15.0%	75000	-1326041.0819158126	298.45360171485663	225
15.2%	76000	-1327508.480840697	300.90613938609596	225
15.4%	77000	-1327386.372622949	299.5568841174633	225
15.6%	78000	-1326258.1009165468	298.0091719607341	226
15.8%	79000	-1328271.0580533268	299.0002768877358	226
16.0%	80000	-1326584.5748552755	299.9846669228732	225
16.2%	81000	-1327251.7833268251	299.4267307568802	225
16.4%	82000	-1326890.272937511	300.300518680261	225
16.6%	83000	-1326190.6330775907	298.89859714918833	225
16.8%	84000	-1327668.1988555863	300.5207218627803	225
17.0%	85000	-1328070.8519619973	301.4776626711699	225
17.2%	86000	-1327060.7389544686	301.28985218551674	225
17.4%	87000	-1326006.8284674808	302.82370000627293	225
17.6%	88000	-1328239.9641600484	300.4954506768446	226
17.8%	89000	-1326272.444952284	300.5373580988638	226
18.0%	90000	-1326540.7243750114	300.06791665531057	225
18.2%	91000	-1326668.337532538	300.0046095107539	225
18.4%	92000	-1325697.5792678325	300.8785523659833	225
18.6%	93000	-1326964.720343763	299.6083540986838	225
18.8%	94000	-1328385.8265854074	300.336136086555	225
19.0%	95000	-1326940.797257265	297.6939722102392	225
