#"Progress (%)"	"Step"	"Potential Energy (kJ/mole)"	"Temperature (K)"	"Speed (ns/day)"
0.2%	1000	-905775.6900968086	301.0349269129291	0
0.4%	2000	-904831.3634351748	298.9962854199736	328
0.6%	3000	-905944.0926747695	302.4424179806604	324
0.8%	4000	-905315.6914715413	299.028246480746	322
1.0%	5000	-905294.812850147	299.318890544063	322
1.2%	6000	-905012.765487296	300.0252373136924	322
1.4%	7000	-905232.844720446	301.6803851571864	321
1.6%	8000	-906246.3432587432	302.1231813130226	321
1.8%	9000	-905273.0401809523	301.4252489768678	321
2.0%	10000	-905013.1049880809	299.3932766079628	311
2.2%	11000	-904794.1110637113	298.83295846625117	308
2.4%	12000	-905602.6416107444	299.9911823938023	309
2.6%	13000	-906502.1726960437	298.8310335411486	310
2.8%	14000	-905896.4671272379	299.51411912197847	312
3.0%	15000	-906318.6128395167	301.5782496548655	312
3.2%	16000	-905824.3802114245	301.30382114360424	312
3.4%	17000	-905651.1448101327	298.63407755147125	313
3.6%	18000	-904321.1471764711	300.1912781615187	313
3.8%	19000	-907160.5448178421	298.9899429911029	314
4.0%	20000	-906085.4823004832	301.38284200390444	307
4.2%	21000	-906246.4097211822	302.42842903052156	305
4.4%	22000	-905152.9702245574	299.4295157510393	306
4.6%	23000	-904770.9379577572	298.7946997098908	306
4.8%	24000	-906328.0266020605	300.7086740081435	307
5.0%	25000	-906950.1825923482	300.99937711137585	308
5.2%	26000	-906110.6958441776	301.7390694306388	308
5.4%	27000	-905479.9430075088	300.7457132537537	308
5.6%	28000	-905865.9940996785	299.57946754099873	309
5.8%	29000	-906318.1309552826	298.63752133001435	309
6.0%	30000	-907005.1437620097	299.5170846746809	305
6.2%	31000	-907057.4674432259	299.47672103764626	304
6.4%	32000	-907127.1926148329	299.3866052671197	305
6.6%	33000	-906002.2159780506	297.65148219418825	305
6.8%	34000	-906860.9513309659	299.5318808368607	305
7.0%	35000	-906565.4193867864	300.87297457000415	306
7.2%	36000	-906182.4406883931	301.76897527101505	306
7.4%	37000	-905409.9271386587	297.77265268496626	307
7.6%	38000	-904916.6345386491	300.0962844166383	307
7.8%	39000	-905980.5468242737	299.7212232041768	307
8.0%	40000	-906716.617083245	302.6823441557079	304
8.2%	41000	-906128.0204122025	300.38218935318895	303
8.4%	42000	-905708.9555493002	301.9684864260659	304
8.6%	43000	-904447.6272819019	299.79015210976667	304
8.8%	44000	-905790.479666369	296.44394834896093	304
9.0%	45000	-905890.9817446433	300.52461999966647	305
9.2%	46000	-906833.4428908867	300.77094326616094	305
9.4%	47000	-905668.6975150048	299.0492084168657	306
9.6%	48000	-905518.4659535848	300.31016792343416	306
9.8%	49000	-904528.2309766077	299.10814509866134	306
10.0%	50000	-906156.6280747484	299.7943445426746	304
10.2%	51000	-905514.7538801716	301.34079138940194	304
10.4%	52000	-903917.1060274458	299.3580288345907	304
10.6%	53000	-904818.8860999784	302.4541823900881	304
10.8%	54000	-905241.2256598189	299.71227966684137	305
11.0%	55000	-907024.7149494886	303.86143178481086	305
11.2%	56000	-905480.6479769298	299.06761300874217	305
11.4%	57000	-906361.7486537332	298.67855159583934	305
11.6%	58000	-905555.3295972198	298.71620192509806	306
11.8%	59000	-905056.694628376	299.3573588466085	306
12.0%	60000	-905108.6937218509	297.61458255076684	304
12.2%	61000	-906497.6970608383	300.83547634833025	303
12.4%	62000	-905107.5177581464	299.5088885274612	304
12.6%	63000	-905259.0003222739	299.32319625504243	304
12.8%	64000	-907034.247251322	300.6898282877595	304
13.0%	65000	-904467.0296183587	299.21943345660713	304
13.2%	66000	-905358.4216458425	299.13516783091075	305
13.4%	67000	-906706.0241923574	300.91383359845946	305
13.6%	68000	-906174.7443297436	297.89861275044865	305
13.8%	69000	-906313.1964336936	300.7240923721713	305
14.0%	70000	-905467.822062368	299.32668060698654	304
14.2%	71000	-904626.2513335831	299.66232591182586	303
14.4%	72000	-904430.0756277549	300.6540458916485	303
14.6%	73000	-905557.2277855743	301.10021738869835	304
14.8%	74000	-905823.2118804432	299.9175064302797	304
15.0%	75000	-906338.5788857285	301.2496415497278	304
15.2%	76000	-905582.0376870697	300.990526196733	304
15.4%	77000	-906165.3244172842	300.45619407234074	305
15.6%	78000	-906059.0101344888	299.92763465570204	305
15.8%	79000	-906725.3177818418	299.64020291881974	305
16.0%	80000	-906044.7448127205	301.0455796879876	303
16.2%	81000	-906260.1538228984	297.7193020121577	303
16.4%	82000	-906396.3800927205	300.6948693853525	303
16.6%	83000	-906062.922693951	300.2183543415535	303
16.8%	84000	-907109.6671625073	299.35463181042985	304
17.0%	85000	-906280.082849307	299.663150721982	304
17.2%	86000	-905533.0199351418	299.9201629671978	304
17.4%	87000	-905500.5662192344	300.08813127634056	304
17.6%	88000	-905281.9938422577	302.6431553023523	304
17.8%	89000	-906593.8247428872	298.6762487704145	305
18.0%	90000	-905871.4293085514	299.9836884851189	304
18.2%	91000	-905532.4182598284	301.9203589983213	304
18.4%	92000	-905460.3262837483	300.7627004995148	304
18.6%	93000	-903594.9140436687	298.0047171842033	304
18.8%	94000	-905093.9350867788	299.2578817447297	304
19.0%	95000	-905779.5726150265	298.9070456068506	304
19.2%	96000	-905406.822019815	300.3523831614829	304
19.4%	97000	-905855.515340725	300.0044483867477	304
19.6%	98000	-906780.6858486896	301.4606284231081	305
19.8%	99000	-905108.4600601378	300.02425849112836	305
20.0%	100000	-904396.8079896918	301.2685319873586	303
20.2%	101000	-904541.214147001	299.89085769262766	303
20.4%	102000	-905278.6905801259	300.3916108279407	303
20.6%	103000	-905750.8789567365	299.12317268226053	303
20.8%	104000	-906024.6256129635	300.9390543640599	304
21.0%	105000	-905874.7447902509	300.5651844808442	304
21.2%	106000	-905706.4181064786	300.8226466932863	304
21.4%	107000	-906051.0094747576	300.8521638661005	304
21.6%	108000	-905630.0620530858	299.9041141167537	304
21.8%	109000	-905067.7027654434	299.03878872245616	304
22.0%	110000	-905688.6921200552	300.4267849622829	303
22.2%	111000	-907743.1147426064	300.64166841055044	303
22.4%	112000	-907705.3658790169	298.7660364497783	303
22.6%	113000	-906329.9761921312	299.0725706185096	303
22.8%	114000	-906226.0298977355	298.81592356539596	304
23.0%	115000	-904609.3413833645	298.8827123214985	304
23.2%	116000	-904775.9628416551	301.55703896639295	304
23.4%	117000	-905284.2876969008	300.97630034696687	304
23.6%	118000	-905891.150522863	300.3960994083881	304
23.8%	119000	-905142.3616697127	299.049512774392	304
24.0%	120000	-906812.5430143881	299.94572490133714	303
24.2%	121000	-906822.6410171618	301.3998143092481	303
24.4%	122000	-905796.482109874	300.59412020562263	303
24.6%	123000	-906080.4667121214	297.74803908847394	303
24.8%	124000	-906071.8591806111	299.1883499788369	303
25.0%	125000	-905862.2823683363	301.39670833270196	303
25.2%	126000	-905174.6002961746	300.901521687633	304
25.4%	127000	-906000.0827514846	302.45555272806484	304
25.6%	128000	-905907.1017682892	301.5366454937106	304
25.8%	129000	-903681.7942434694	297.11259462364495	304
26.0%	130000	-903918.8880846202	299.12188131973426	303
26.2%	131000	-905617.3575097821	300.0852295281625	303
26.4%	132000	-904637.7871004813	300.08559259729856	303
26.6%	133000	-905758.6323521892	299.5358349562932	303
26.8%	134000	-905633.4956038217	300.1675047035577	303
27.0%	135000	-904049.2395687411	300.42711225552165	303
27.2%	136000	-903653.3204281726	300.5416970221214	303
27.4%	137000	-904159.6559965704	299.6514056800779	304
27.6%	138000	-904245.0630597454	302.158255036522	304
27.8%	139000	-904829.2488903059	298.45619843068226	304
28.0%	140000	-906700.3618875872	299.837148818487	303
28.2%	141000	-907108.7025802359	299.4662646726375	303
28.4%	142000	-905272.5441124318	299.646024540415	303
28.6%	143000	-907083.0222372347	297.37024014808907	303
28.8%	144000	-907127.546654006	300.73005468149984	303
29.0%	145000	-905755.3312055897	300.3670979292192	303
29.2%	146000	-905457.958597166	302.1438865734041	304
29.4%	147000	-906126.871381877	300.4601644902847	304
29.6%	148000	-904978.6877861968	300.7901443418987	304
29.8%	149000	-904789.8770581312	300.4105548841182	304
30.0%	150000	-905279.2313434198	299.93683565688735	303
30.2%	151000	-905007.8570064502	298.2237118839964	303
30.4%	152000	-906074.007959256	299.4978702944516	303
30.6%	153000	-907062.0833821516	301.4240475640252	303
30.8%	154000	-906215.4802825083	298.7569581202136	303
31.0%	155000	-906316.2154794317	301.6274390096572	303
31.2%	156000	-905809.3278775322	299.62899094589443	303
31.4%	157000	-905391.2013146733	301.45584894173237	303
31.6%	158000	-905703.7571621123	299.17556423003197	303
31.8%	159000	-905268.2631806359	300.2081651356145	304
32.0%	160000	-906187.3114108196	300.74182771908596	303
32.2%	161000	-906013.3446461847	298.6738777537975	303
32.4%	162000	-904801.5353783164	301.6283728062658	303
32.6%	163000	-906277.9804228414	300.5857576310719	303
32.8%	164000	-905329.0447299322	300.6917807749585	303
33.0%	165000	-905923.2742507346	299.48222550871566	303
33.2%	166000	-906191.0977526889	299.1497243244279	303
33.4%	167000	-905591.1834094864	301.0090593047618	303
33.6%	168000	-906030.59187409	299.8725111693723	303
33.8%	169000	-906714.5906617013	300.1599615488825	303
34.0%	170000	-906812.7777444539	300.8646060800277	303
34.2%	171000	-905397.1525270906	300.22676469127725	302
34.4%	172000	-906463.3185525048	301.41976180463865	302
34.6%	173000	-906253.7758556171	299.2061134043022	303
34.8%	174000	-905865.2477156199	300.36037167515883	303
35.0%	175000	-905392.6732038585	299.4734916393326	303
35.2%	176000	-907062.1902887281	301.0553088668116	303
35.4%	177000	-907307.2154330113	298.2335844678631	303
35.6%	178000	-906487.3421661402	299.58661471355566	303
35.8%	179000	-906831.4175986857	299.8371649820301	303
36.0%	180000	-907358.6529700714	300.3934324558101	303
36.2%	181000	-906528.4306944902	301.39101984760896	303
36.4%	182000	-906741.7724976088	300.0120643452947	303
36.6%	183000	-906282.8434941769	304.25653822893725	303
36.8%	184000	-906124.7122314111	301.08949724657555	303
37.0%	185000	-905778.0834940923	300.44850621186026	303
37.2%	186000	-906890.583656095	300.25734992444944	303
37.4%	187000	-905169.3740653186	299.3895190227953	303
37.6%	188000	-906897.8127938565	301.12364536559704	303
37.8%	189000	-905358.4385739383	299.7585014884868	303
38.0%	190000	-904233.1639431547	299.38310999428495	303
38.2%	191000	-906446.9013335127	301.7516323880978	302
38.4%	192000	-906743.3531294409	299.43873237263165	303
38.6%	193000	-905783.3335766429	302.3281372003272	303
38.8%	194000	-906328.6785799013	302.69046278932086	303
39.0%	195000	-906610.9762776429	300.82583270093403	303
39.2%	196000	-907403.1235812851	299.1535336027651	303
39.4%	197000	-906370.1042145602	299.0319187003528	303
39.6%	198000	-906935.4236038988	298.89266333256984	303
39.8%	199000	-906174.9006420583	299.83052601331036	303
40.0%	200000	-905252.9249785016	301.5770315346099	302
40.2%	201000	-903883.1379761999	301.79955266419825	302
40.4%	202000	-906519.3557274705	301.67665973275086	302
40.6%	203000	-905761.7171230135	299.90028920537384	303
40.8%	204000	-905148.814379523	298.15367457628173	303
41.0%	205000	-904546.0353406612	300.9895914334525	303
41.2%	206000	-905661.9235218544	299.6795218769484	303
41.4%	207000	-904262.7854098012	300.00386141276334	303
41.6%	208000	-905237.6494298689	300.4557604082822	303
41.8%	209000	-904805.1720020929	299.9648859940847	303
42.0%	210000	-905150.2746120472	301.31041445526034	302
42.2%	211000	-906823.9730695635	298.95538082498854	302
42.4%	212000	-904485.4843840632	299.3784951508001	302
42.6%	213000	-904643.5061651357	300.6537259007266	302
42.8%	214000	-904711.7909462461	297.7631195701924	302
43.0%	215000	-905198.7610974326	300.7680559030992	303
43.2%	216000	-905546.217359826	299.6759189226863	303
43.4%	217000	-906459.6985791172	300.5683657422334	303
43.6%	218000	-906201.7272442472	299.93644885837006	303
43.8%	219000	-907096.0530474726	300.9283057621532	303
44.0%	220000	-905788.973934283	300.4540897211036	303
44.2%	221000	-905283.569271904	299.22948024073526	302
44.4%	222000	-904995.2300089332	301.4384313888927	302
