#"Progress (%)"	"Step"	"Potential Energy (kJ/mole)"	"Temperature (K)"	"Speed (ns/day)"
0.0%	1000	-885337.716453088	300.5972307918239	0
0.0%	2000	-883401.5820928263	303.1018186567493	556
0.0%	3000	-885379.6591314236	300.18760652750706	563
0.0%	4000	-884829.0281045516	301.32192620701136	562
0.1%	5000	-883897.2362655029	298.8904790169844	564
0.1%	6000	-883474.4971646005	298.7591262422694	564
0.1%	7000	-884802.8569431114	299.27114632061495	563
0.1%	8000	-885533.7984284293	299.7315382325701	562
0.1%	9000	-885990.9051512526	300.8132951784319	562
0.1%	10000	-885474.8276751656	299.6295189459776	527
0.1%	11000	-884641.8102208567	301.299892616129	522
0.1%	12000	-886431.7133075795	301.0046901163161	526
0.1%	13000	-885655.2340227668	299.6309477117867	529
0.1%	14000	-884442.417892416	300.804637464738	529
0.1%	15000	-884064.1713337628	300.67387889149643	530
0.2%	16000	-883431.1148935356	303.37268162779907	531
0.2%	17000	-882889.1736507677	300.8286952028293	532
0.2%	18000	-882470.7227645158	297.8713860900536	533
0.2%	19000	-883639.8221341451	302.41118804626683	533
0.2%	20000	-885478.9613935342	301.6391418520167	512
0.2%	21000	-884364.0380323459	299.2988340186097	512
0.2%	22000	-882672.3326072623	302.9042051332325	514
0.2%	23000	-884417.3618701403	300.5689827531519	515
0.2%	24000	-884680.9343007957	301.0849158122655	517
0.2%	25000	-884150.4372019446	301.73627472230413	519
0.3%	26000	-884080.8029043148	297.7442713201592	521
0.3%	27000	-884970.8314208388	302.3647101698478	522
0.3%	28000	-885229.3338375818	300.58190418210745	523
0.3%	29000	-884261.6258236808	300.0867916414112	525
0.3%	30000	-883003.1351188417	302.65000941931044	512
0.3%	31000	-882516.7443696158	300.2136166175495	512
0.3%	32000	-884445.8655991713	301.10297619717545	513
0.3%	33000	-884240.136929384	299.4831006305952	514
0.3%	34000	-884035.9802809008	298.8525596480098	516
0.3%	35000	-882745.827402838	300.27401644181685	517
0.4%	36000	-884070.2319231979	303.36974412179615	518
0.4%	37000	-884535.8869574149	301.91607152615535	519
0.4%	38000	-884734.041738071	301.03869094554346	520
0.4%	39000	-882939.3075843235	300.6768069238269	521
0.4%	40000	-884897.4004270118	299.7328885977012	511
0.4%	41000	-884165.231098826	299.3761460199092	511
0.4%	42000	-884675.6853767387	297.3146787852653	512
0.4%	43000	-885266.4297573208	297.32590257510316	513
0.4%	44000	-886694.5712982109	300.6078754309076	514
0.5%	45000	-884369.6747519011	301.8311431204963	515
0.5%	46000	-886701.0143691534	301.20361158586195	515
0.5%	47000	-884947.5100650601	300.58914708004227	516
0.5%	48000	-883064.12209595	300.8682784035977	517
0.5%	49000	-883368.0241114618	299.345562624174	518
0.5%	50000	-884111.993488715	299.85297797199524	511
0.5%	51000	-884999.4958520969	301.1932384721782	510
0.5%	52000	-884527.2740849047	301.83231038424515	511
0.5%	53000	-884059.9465402798	301.846124564955	512
0.5%	54000	-883045.9230489	300.1456419615551	513
0.6%	55000	-883414.5959964618	301.4747778739853	514
0.6%	56000	-883251.8030391173	302.25766209278584	514
0.6%	57000	-885688.3923046491	301.0118941569001	515
0.6%	58000	-882748.3408017894	299.5882213111491	515
0.6%	59000	-884994.4553945079	302.0370988477822	516
0.6%	60000	-883189.0001191553	301.412588200072	509
0.6%	61000	-882920.242767455	300.22618406807794	509
0.6%	62000	-884872.1881896928	301.75392844928973	510
