#"Progress (%)"	"Step"	"Potential Energy (kJ/mole)"	"Temperature (K)"	"Speed (ns/day)"
0.0%	10000	-930233.3792393534	300.3793580220625	0
0.0%	20000	-929537.2716990695	300.0804059863447	472
0.1%	30000	-930413.6327439547	299.7924219816853	480
0.1%	40000	-930588.3892553449	300.1508818390765	479
0.1%	50000	-929755.9206686565	301.6757125013056	477
0.1%	60000	-930691.6358674611	300.31593232556526	477
0.1%	70000	-928501.4524755348	299.6532326502923	478
0.2%	80000	-930173.8270763298	296.97600127046627	477
0.2%	90000	-930608.9067190434	299.30546452034963	477
0.2%	100000	-928948.0837021563	300.6183525345151	477
0.2%	110000	-929874.6211616746	299.4093405973307	476
0.2%	120000	-929622.6888371515	302.8801174647819	476
0.3%	130000	-929384.9850236857	302.78341704317336	476
0.3%	140000	-927147.5964443628	300.144657147581	475
0.3%	150000	-930594.5430077193	299.99459285501524	476
0.3%	160000	-929430.1642711535	299.8044638152976	476
0.3%	170000	-930681.6319838986	301.07742441417093	476
0.4%	180000	-930022.5685597095	298.7964186252137	475
0.4%	190000	-928984.0380375618	298.5051551465939	476
0.4%	200000	-932019.9799526916	299.15932818074026	475
0.4%	210000	-930177.1336516561	302.05108614640375	475
0.4%	220000	-929780.7108653905	301.12619687796166	475
0.5%	230000	-930381.4928240632	300.3159410924477	476
0.5%	240000	-930240.1301813642	302.00166729466855	475
0.5%	250000	-929343.12681414	297.9295789827544	475
0.5%	260000	-930977.5421854872	300.7227348159394	475
0.5%	270000	-930676.2266129828	302.121418481255	475
0.6%	280000	-929973.4310393124	301.27115855619695	475
0.6%	290000	-929588.8949180315	300.930587140652	475
0.6%	300000	-930960.8460235689	298.9351025241715	475
0.6%	310000	-930690.3743536794	301.41982336824077	475
0.6%	320000	-929798.5945912949	301.32046073981246	475
0.7%	330000	-930588.6519987737	296.9579494201802	475
0.7%	340000	-929904.1603237242	300.5294688386376	475
0.7%	350000	-930116.5992673337	301.6002609511606	475
0.7%	360000	-930226.0755961188	300.6481648971496	475
